no,"sex(male:1,female:0)",age,height,weight,bmi,preference, experimental environment,sensitivity,date,time,room((meeting:1 reception:2 drinks:3)),thermal sensation,thermal comfort(com:1 discom:0),thermal preference (C:1 U:2 W:3),seat number,temp,humid
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,11:00:00,2.0,0.0,1.0,2.0,15.0,24.0,16.4
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,11:00:00,3.0,1.0,1.0,1.0,2.0,26.9,16.8
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,11:00:00,3.0,1.6,0.0,1.0,1.0,26.9,16.8
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,11:00:00,1.0,0.0,1.0,2.0,3.0,24.6,16.3
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,11:00:00,1.0,0.5,1.0,2.0,7.0,24.6,16.3
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,11:00:00,1.0,1.0,1.0,1.0,12.0,24.6,16.3
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,11:00:00,1.0,0.0,1.0,2.0,10.0,24.6,16.3
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,11:00:00,1.0,0.0,1.0,2.0,11.0,24.6,16.3
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,11:00:00,2.0,1.0,0.0,1.0,9.0,24.0,16.4
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,11:30:00,1.0,0.9,1.0,2.0,4.0,24.9,16.2
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,6.0,24.9,16.2
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,8.0,24.9,16.2
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,5.0,24.9,16.2
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,11:30:00,2.0,0.0,1.0,2.0,14.0,23.7,16.7
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,11:30:00,2.0,-1.0,0.0,3.0,13.0,23.7,16.7
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,11:30:00,3.0,0.0,1.0,2.0,16.0,26.4,17.4
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,11:30:00,2.0,0.0,1.0,2.0,15.0,23.7,16.7
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,11:30:00,3.0,1.0,1.0,1.0,2.0,26.4,17.4
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,11:30:00,3.0,1.3,1.0,2.0,1.0,26.4,17.4
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,3.0,24.9,16.2
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,7.0,24.9,16.2
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,12.0,24.9,16.2
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,10.0,24.9,16.2
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,11:30:00,1.0,0.0,1.0,2.0,11.0,24.9,16.2
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,11:30:00,2.0,-1.0,0.0,3.0,9.0,23.7,16.7
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,12:00:00,1.0,1.2,1.0,1.0,4.0,25.0,16.3
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,6.0,25.0,16.3
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,8.0,25.0,16.3
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,5.0,25.0,16.3
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,12:00:00,2.0,-1.0,1.0,2.0,14.0,23.4,16.7
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,12:00:00,2.0,-1.0,0.0,3.0,13.0,23.4,16.7
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,12:00:00,3.0,-0.2,1.0,2.0,16.0,26.1,17.4
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,12:00:00,2.0,0.0,1.0,2.0,15.0,23.4,16.7
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,12:00:00,3.0,0.5,1.0,1.0,2.0,26.1,17.4
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,12:00:00,3.0,1.0,1.0,2.0,1.0,26.1,17.4
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,3.0,25.0,16.3
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,7.0,25.0,16.3
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,12:00:00,1.0,0.0,0.0,1.0,12.0,25.0,16.3
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,12:00:00,1.0,0.0,1.0,2.0,10.0,25.0,16.3
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,12:00:00,1.0,1.0,1.0,1.0,11.0,25.0,16.3
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,12:00:00,2.0,-1.0,0.0,3.0,9.0,23.4,16.7
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,14:30:00,1.0,1.0,1.0,2.0,4.0,25.3,13.6
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,14:30:00,1.0,0.5,1.0,1.0,6.0,25.3,13.6
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,14:30:00,1.0,0.0,1.0,2.0,8.0,25.3,13.6
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,14:30:00,1.0,0.0,1.0,2.0,5.0,25.3,13.6
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,14:30:00,2.0,0.0,1.0,2.0,14.0,22.0,16.8
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,14:30:00,2.0,0.0,1.0,2.0,13.0,22.0,16.8
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,14:30:00,3.0,1.0,1.0,2.0,16.0,25.3,14.1
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,14:30:00,2.0,-0.5,1.0,3.0,15.0,22.0,16.8
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,14:30:00,3.0,1.0,1.0,1.0,2.0,25.3,14.1
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,14:30:00,3.0,1.6,0.0,1.0,1.0,25.3,14.1
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,14:30:00,1.0,0.5,1.0,2.0,3.0,25.3,13.6
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,14:30:00,1.0,1.0,1.0,1.0,7.0,25.3,13.6
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,14:30:00,1.0,-1.0,1.0,3.0,12.0,25.3,13.6
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,14:30:00,1.0,0.0,1.0,2.0,10.0,25.3,13.6
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,14:30:00,1.0,1.0,1.0,1.0,11.0,25.3,13.6
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,14:30:00,2.0,-1.0,0.0,3.0,9.0,22.0,16.8
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,15:00:00,1.0,1.2,1.0,1.0,4.0,25.4,14.7
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,15:00:00,1.0,0.5,1.0,1.0,6.0,25.4,14.7
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,15:00:00,1.0,1.0,0.0,1.0,8.0,25.4,14.7
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,15:00:00,1.0,1.0,1.0,1.0,5.0,25.4,14.7
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,15:00:00,2.0,0.0,1.0,2.0,14.0,22.4,17.3
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,15:00:00,2.0,0.0,1.0,2.0,13.0,22.4,17.3
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,15:00:00,3.0,2.0,0.0,1.0,16.0,29.3,13.2
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,15:00:00,2.0,0.0,1.0,2.0,15.0,22.4,17.3
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,15:00:00,3.0,1.2,0.0,1.0,2.0,29.3,13.2
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,15:00:00,3.0,1.6,0.0,1.0,1.0,29.3,13.2
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,15:00:00,1.0,0.5,1.0,2.0,3.0,25.4,14.7
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,15:00:00,1.0,0.5,1.0,2.0,7.0,25.4,14.7
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,15:00:00,1.0,0.0,1.0,2.0,12.0,25.4,14.7
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,15:00:00,1.0,0.0,1.0,2.0,10.0,25.4,14.7
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,15:00:00,1.0,1.0,1.0,1.0,11.0,25.4,14.7
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,15:00:00,2.0,-1.0,0.0,3.0,9.0,22.4,17.3
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,15:30:00,1.0,0.5,1.0,2.0,4.0,25.7,15.2
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,15:30:00,1.0,0.5,1.0,1.0,6.0,25.7,15.2
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,15:30:00,1.0,1.0,0.0,1.0,8.0,25.7,15.2
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,15:30:00,1.0,2.0,0.0,1.0,5.0,25.7,15.2
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,15:30:00,2.0,0.0,1.0,2.0,14.0,22.6,17.6
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,15:30:00,2.0,0.0,1.0,2.0,13.0,22.6,17.6
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,15:30:00,3.0,2.0,0.0,1.0,16.0,30.3,13.8
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,15:30:00,2.0,0.0,1.0,2.0,15.0,22.6,17.6
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,15:30:00,3.0,2.2,0.0,1.0,2.0,30.3,13.8
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,15:30:00,3.0,2.3,0.0,1.0,1.0,30.3,13.8
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,15:30:00,1.0,0.0,1.0,2.0,3.0,25.7,15.2
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,15:30:00,1.0,0.0,1.0,2.0,7.0,25.7,15.2
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,15:30:00,1.0,0.0,1.0,2.0,12.0,25.7,15.2
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,15:30:00,1.0,1.0,1.0,1.0,10.0,25.7,15.2
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,15:30:00,1.0,1.0,0.0,1.0,11.0,25.7,15.2
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,15:30:00,2.0,-1.0,0.0,3.0,9.0,22.6,17.6
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,16:00:00,1.0,0.0,1.0,2.0,4.0,25.3,15.9
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,16:00:00,1.0,0.0,1.0,2.0,6.0,25.3,15.9
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,16:00:00,1.0,2.0,0.0,1.0,8.0,25.3,15.9
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,16:00:00,1.0,2.0,0.0,1.0,5.0,25.3,15.9
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,16:00:00,2.0,0.0,1.0,2.0,14.0,28.0,13.3
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,16:00:00,2.0,0.0,1.0,2.0,13.0,28.0,13.3
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,16:00:00,3.0,1.0,1.0,1.0,16.0,30.9,13.9
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,16:00:00,2.0,0.5,1.0,1.0,15.0,28.0,13.3
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,16:00:00,3.0,2.3,0.0,1.0,2.0,30.9,13.9
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,16:00:00,3.0,2.6,0.0,1.0,1.0,30.9,13.9
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,16:00:00,1.0,0.0,1.0,2.0,3.0,25.3,15.9
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,16:00:00,1.0,0.0,1.0,2.0,7.0,25.3,15.9
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,16:00:00,1.0,1.0,1.0,1.0,12.0,25.3,15.9
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,16:00:00,1.0,0.0,1.0,2.0,10.0,25.3,15.9
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,16:00:00,1.0,1.0,0.0,1.0,11.0,25.3,15.9
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,16:00:00,2.0,0.0,1.0,2.0,9.0,28.0,13.3
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,16:30:00,1.0,0.0,1.0,2.0,4.0,25.0,16.5
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,16:30:00,1.0,0.0,1.0,2.0,6.0,25.0,16.5
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,16:30:00,1.0,1.0,1.0,2.0,8.0,25.0,16.5
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,16:30:00,1.0,0.0,1.0,2.0,5.0,25.0,16.5
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,16:30:00,2.0,1.0,1.0,1.0,14.0,28.8,12.9
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,16:30:00,2.0,0.0,1.0,2.0,13.0,28.8,12.9
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,16:30:00,3.0,0.0,1.0,2.0,16.0,31.2,13.5
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,16:30:00,2.0,1.0,0.0,1.0,15.0,28.8,12.9
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,16:30:00,3.0,2.4,0.0,1.0,2.0,31.2,13.5
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,16:30:00,3.0,2.6,0.0,1.0,1.0,31.2,13.5
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,16:30:00,1.0,0.0,1.0,2.0,3.0,25.0,16.5
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,16:30:00,1.0,0.0,1.0,2.0,7.0,25.0,16.5
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,16:30:00,1.0,1.0,nan,2.0,12.0,25.0,16.5
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,16:30:00,1.0,0.0,1.0,1.0,10.0,25.0,16.5
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,16:30:00,1.0,1.0,0.0,1.0,11.0,25.0,16.5
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,16:30:00,2.0,1.0,0.0,1.0,9.0,28.8,12.9
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,4.0,24.9,16.8
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,6.0,24.9,16.8
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,8.0,24.9,16.8
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,5.0,24.9,16.8
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,17:00:00,2.0,2.0,0.0,1.0,14.0,27.9,13.9
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,17:00:00,2.0,0.0,1.0,2.0,13.0,27.9,13.9
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,17:00:00,3.0,0.0,1.0,2.0,16.0,30.7,13.7
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,17:00:00,2.0,1.0,0.0,1.0,15.0,27.9,13.9
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,17:00:00,3.0,2.3,0.0,1.0,2.0,30.7,13.7
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,17:00:00,3.0,2.6,0.0,1.0,1.0,30.7,13.7
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,3.0,24.9,16.8
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,7.0,24.9,16.8
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,17:00:00,1.0,1.0,1.0,1.0,12.0,24.9,16.8
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,10.0,24.9,16.8
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,17:00:00,1.0,0.0,1.0,2.0,11.0,24.9,16.8
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,17:00:00,2.0,1.0,0.0,1.0,9.0,27.9,13.9
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,17:30:00,1.0,-0.2,1.0,2.0,4.0,24.7,16.8
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,6.0,24.7,16.8
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,8.0,24.7,16.8
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,5.0,24.7,16.8
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,17:30:00,2.0,2.0,0.0,1.0,14.0,28.0,13.9
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,17:30:00,2.0,-1.0,0.0,3.0,13.0,28.0,13.9
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,17:30:00,3.0,1.0,1.0,1.0,16.0,31.0,13.7
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,17:30:00,2.0,1.0,0.0,1.0,15.0,28.0,13.9
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,17:30:00,3.0,2.0,0.0,1.0,2.0,31.0,13.7
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,17:30:00,3.0,2.6,0.0,1.0,1.0,31.0,13.7
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,3.0,24.7,16.8
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,7.0,24.7,16.8
46,1,22,179.0,77.0,24.03170937,0,1,0,2021/1/10,17:30:00,1.0,1.0,1.0,2.0,12.0,24.7,16.8
47,0,23,174.0,51.0,16.84502576,1,1,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,10.0,24.7,16.8
49,0,23,170.0,60.0,20.76124567,-1,1,1,2021/1/10,17:30:00,1.0,0.0,1.0,2.0,11.0,24.7,16.8
50,1,25,190.0,95.0,26.31578947,0,-1,1,2021/1/10,17:30:00,2.0,1.0,0.0,1.0,9.0,28.0,13.9
2,1,23,173.0,85.0,28.40054796,-1,0,0,2021/1/10,9:00:00,1.0,-0.5,1.0,2.0,4.0,22.2,15.7
15,1,22,180.0,66.0,20.37037037,-1,1,1,2021/1/10,9:00:00,1.0,0.0,1.0,2.0,6.0,22.2,15.7
18,1,23,180.0,65.0,20.0617284,1,1,1,2021/1/10,9:00:00,1.0,-1.0,1.0,3.0,8.0,22.2,15.7
21,1,23,175.0,67.0,21.87755102,0,0,1,2021/1/10,9:00:00,1.0,-1.0,1.0,3.0,5.0,22.2,15.7
22,1,23,176.0,65.0,20.9839876,0,1,1,2021/1/10,9:00:00,2.0,1.0,0.0,1.0,14.0,27.1,12.5
24,0,24,160.0,50.0,19.53125,0,0,2,2021/1/10,9:00:00,2.0,0.0,1.0,2.0,13.0,27.1,12.5
26,1,22,175.0,65.0,21.2244898,-1,1,0,2021/1/10,9:00:00,3.0,0.0,1.0,2.0,16.0,28.2,11.8
28,0,24,164.0,47.0,17.47471743,0,1,1,2021/1/10,9:00:00,2.0,nan,nan,nan,15.0,27.1,12.5
34,0,22,163.0,60.0,22.58270917,-1,0,1,2021/1/10,9:00:00,3.0,nan,nan,nan,2.0,28.2,11.8
37,0,23,167.0,53.0,19.00390835,1,1,0,2021/1/10,9:00:00,3.0,nan,nan,nan,nan,28.2,11.8
38,1,21,185.0,74.0,21.62162162,-1,0,1,2021/1/10,9:00:00,1.0,0.5,1.0,2.0,3.0,22.2,15.7
44,1,23,181.0,76.0,23.19831507,1,0,1,2021/1/10,9:00:00,1.0,0.0,1.0,2.0,7.0,22.2,15.7
