no,"sex(male:1,female:0)",age,height,weight,bmi,preference, experimental environment,sensitivity,date,time,room((meeting:1 reception:2 drinks:3)),thermal sensation,thermal comfort(com:1 discom:0),thermal preference (C:1 U:2 W:3),seat number,temp,humid
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,10:30:00,2.0,0.0,1.0,2.0,13.0,22.3,16.9
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,11:00:00,2.0,0.0,1.0,2.0,13.0,25.3,14.4
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,11:30:00,2.0,0.0,1.0,2.0,13.0,25.8,13.8
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,12:00:00,2.0,nan,nan,nan,13.0,26.3,13.3
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,14:30:00,2.0,0.8,0.0,1.0,13.0,27.3,11.6
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,15:00:00,2.0,0.2,1.0,2.0,13.0,25.5,13.8
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,15:30:00,2.0,0.0,1.0,2.0,13.0,25.3,14.2
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,16:00:00,2.0,0.0,1.0,2.0,13.0,25.4,14.4
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,16:30:00,2.0,0.0,1.0,2.0,13.0,25.3,14.3
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,17:00:00,2.0,0.1,1.0,2.0,13.0,25.2,14.6
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/17,17:30:00,2.0,0.0,1.0,2.0,13.0,24.9,14.7
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,9:00:00,1.0,0.0,1.0,2.0,6.0,22.5,14.9
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,9:30:00,1.0,0.0,1.0,2.0,6.0,22.9,16.7
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,10:00:00,1.0,0.0,1.0,2.0,6.0,23.1,17.1
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,10:30:00,1.0,0.0,1.0,2.0,6.0,23.3,17.3
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,11:00:00,1.0,0.0,1.0,2.0,6.0,24.4,16.3
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,11:30:00,1.0,0.0,1.0,2.0,6.0,24.8,16.8
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,12:00:00,1.0,0.0,1.0,2.0,6.0,25.1,17.0
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,14:30:00,1.0,0.0,1.0,2.0,6.0,25.8,14.4
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,15:00:00,1.0,0.5,0.0,1.0,6.0,25.4,16.3
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,15:30:00,1.0,0.0,1.0,2.0,6.0,25.3,17.4
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,16:00:00,1.0,0.2,1.0,2.0,6.0,25.2,18.1
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,16:30:00,1.0,0.5,0.0,1.0,6.0,25.1,18.0
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,17:00:00,1.0,0.0,1.0,2.0,6.0,25.1,18.4
19,1,23,182.0,75.7,22.85352011,1,0,0,2021/1/18,17:30:00,1.0,0.0,1.0,2.0,6.0,25.0,18.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,9:00:00,2.0,-1.0,1.0,3.0,14.0,17.1,18.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,9:30:00,2.0,-1.0,1.0,3.0,14.0,18.4,19.8
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,10:00:00,2.0,-1.0,1.0,3.0,14.0,22.4,15.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,10:30:00,2.0,-1.0,1.0,3.0,14.0,23.9,14.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,11:00:00,2.0,0.0,1.0,3.0,14.0,27.1,12.2
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,11:30:00,2.0,0.0,1.0,3.0,14.0,25.3,14.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,12:00:00,2.0,0.0,1.0,3.0,14.0,26.0,14.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,14:30:00,2.0,0.0,1.0,2.0,14.0,26.3,13.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,15:00:00,2.0,1.0,1.0,2.0,14.0,26.9,13.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,15:30:00,2.0,1.0,1.0,1.0,14.0,27.5,13.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,16:00:00,2.0,1.0,1.0,2.0,14.0,24.0,16.5
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,16:30:00,2.0,0.0,1.0,2.0,14.0,23.1,17.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,17:00:00,2.0,0.0,1.0,2.0,14.0,22.7,18.5
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/9,17:30:00,2.0,-1.0,1.0,3.0,14.0,22.4,18.5
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,9:00:00,3.0,0.0,1.0,2.0,6.0,22.7,17.0
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,9:30:00,3.0,0.0,1.0,2.0,6.0,23.1,17.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,10:00:00,3.0,0.0,1.0,2.0,6.0,23.0,17.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,10:30:00,3.0,0.0,1.0,2.0,6.0,23.6,20.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,11:00:00,3.0,-1.0,1.0,3.0,6.0,23.8,20.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,11:30:00,3.0,-1.0,1.0,3.0,6.0,24.1,21.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,12:00:00,3.0,-1.0,1.0,3.0,6.0,23.9,20.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,14:30:00,3.0,0.0,1.0,2.0,6.0,24.2,19.2
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,15:00:00,3.0,0.0,1.0,2.0,6.0,24.5,19.9
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,15:30:00,3.0,0.0,1.0,2.0,6.0,24.7,20.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,16:00:00,3.0,-1.0,1.0,3.0,6.0,24.6,18.6
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,16:30:00,3.0,-1.0,1.0,3.0,6.0,24.5,19.5
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,17:00:00,3.0,2.0,0.0,1.0,6.0,26.7,18.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/15,17:30:00,3.0,2.0,0.0,1.0,6.0,28.0,17.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,9:00:00,1.0,0.0,1.0,2.0,15.0,22.8,16.4
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,9:30:00,1.0,0.0,1.0,2.0,15.0,23.2,18.3
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,10:00:00,1.0,0.0,1.0,2.0,15.0,23.5,19.1
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,10:30:00,1.0,0.0,1.0,2.0,15.0,23.8,19.7
20,0,24,164.0,52.0,19.33372992,-1,0,1,2021/1/16,11:00:00,1.0,0.0,1.0,2.0,15.0,24.0,19.8
