ÊµÑéÈËÔ±±àºÅ,ÄêÁä,Éí¸ß,ÌåÖØ,BMI,ÈÕÆÚ,Ê±¼ä,ÎÂ¶È£¨¡æ£©,Êª¶È£¨%£©,ÈÈÊæÊÊ½ÓÊÜ³Ì¶È£¨-3~3£©,ÈÈ¸Ğ¾õ£¨-3~3£©,ÓĞÎŞ·ç¸Ğ
1,22,164,45,16.73111243,2018/7/10,17:00:00,28.2,61,1.5,0,0
1,22,164,45,16.73111243,2018/7/10,17:30:00,28.5,61,0.5,1,0
1,22,164,45,16.73111243,2018/7/11,8:50:00,27.2,61,-2,2,0
1,22,164,45,16.73111243,2018/7/11,9:00:00,27.2,61,-0.5,1,0
1,22,164,45,16.73111243,2018/7/11,9:30:00,29.4,56,-2,2,0
1,22,164,45,16.73111243,2018/7/11,10:00:00,26.5,54,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/11,10:30:00,25.9,52,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/11,11:00:00,25.4,53,-1,-1.5,0
1,22,164,45,16.73111243,2018/7/11,11:30:00,25.6,53,0.5,-1,0
1,22,164,45,16.73111243,2018/7/11,12:00:00,25,52,-2,-2,0
1,22,164,45,16.73111243,2018/7/11,14:20:00,24.3,58,0.5,1,0
1,22,164,45,16.73111243,2018/7/11,14:30:00,24.6,58,2.5,0,0
1,22,164,45,16.73111243,2018/7/11,15:00:00,24.8,54,1,-0.5,0
1,22,164,45,16.73111243,2018/7/11,15:30:00,25.9,53,2.5,0,0
1,22,164,45,16.73111243,2018/7/11,16:00:00,26.8,54,3,0,0
1,22,164,45,16.73111243,2018/7/11,16:30:00,27.3,54,0.8,0.7,0
1,22,164,45,16.73111243,2018/7/11,17:00:00,27.5,56,0.7,0,0
1,22,164,45,16.73111243,2018/7/11,17:30:00,27.7,57,1.5,0,0
1,22,164,45,16.73111243,2018/7/12,8:50:00,23,59,1,0,0
1,22,164,45,16.73111243,2018/7/12,9:00:00,23.6,58,1,0,0
1,22,164,45,16.73111243,2018/7/12,9:30:00,24,59,2,-0.2,0
1,22,164,45,16.73111243,2018/7/12,10:00:00,25.4,58,2,0,0
1,22,164,45,16.73111243,2018/7/12,10:30:00,26.3,58,3,0,0
1,22,164,45,16.73111243,2018/7/12,11:00:00,26.8,58,3,0,0
1,22,164,45,16.73111243,2018/7/12,11:30:00,27.2,58,1.5,0.5,0
1,22,164,45,16.73111243,2018/7/12,12:00:00,27.5,57,2,0,0
1,22,164,45,16.73111243,2018/7/12,14:20:00,27,58,0.5,1,0
1,22,164,45,16.73111243,2018/7/12,14:30:00,26.1,60,1.5,0,0
1,22,164,45,16.73111243,2018/7/12,15:00:00,24.6,48,0.5,0,0
1,22,164,45,16.73111243,2018/7/12,15:30:00,23.7,53,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/12,16:00:00,24.6,50,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/12,16:30:00,24.8,54,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/12,17:00:00,25.9,52,2,0,0
1,22,164,45,16.73111243,2018/7/12,17:30:00,27.5,57,0.5,0.5,0
1,22,164,45,16.73111243,2018/7/13,8:50:00,26.5,62,-3,2,0
1,22,164,45,16.73111243,2018/7/13,9:00:00,26.8,62,-1.5,1.5,0
1,22,164,45,16.73111243,2018/7/13,9:30:00,26.1,59,1.5,0.5,0
1,22,164,45,16.73111243,2018/7/13,10:00:00,25.2,54,0.5,-0.2,0
1,22,164,45,16.73111243,2018/7/13,10:30:00,24.5,49,2.5,-1,0
1,22,164,45,16.73111243,2018/7/13,11:00:00,25.1,54,1.5,-0.5,0
1,22,164,45,16.73111243,2018/7/13,11:30:00,25.3,55,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/13,12:00:00,25.4,54,0.5,-1,0
1,22,164,45,16.73111243,2018/7/13,14:20:00,25.4,64,-1.5,2,0
1,22,164,45,16.73111243,2018/7/13,14:30:00,25.6,61,2,0.5,0
1,22,164,45,16.73111243,2018/7/13,15:00:00,25.3,51,2,0,0
1,22,164,45,16.73111243,2018/7/13,15:30:00,25.6,49,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/13,16:00:00,25.6,48,-0.5,-1,0
1,22,164,45,16.73111243,2018/7/13,16:30:00,27,53,0.5,-0.2,0
1,22,164,45,16.73111243,2018/7/13,17:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/13,17:30:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,8:50:00,28.6,57,-2.5,3,0
1,22,164,45,16.73111243,2018/7/16,9:00:00,28.9,58,-2,2.5,0
1,22,164,45,16.73111243,2018/7/16,9:30:00,25.5,52,1,0,0
1,22,164,45,16.73111243,2018/7/16,10:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,10:30:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,11:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,11:30:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,12:00:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,14:20:00,24.5,56,0.5,1.5,0
1,22,164,45,16.73111243,2018/7/16,14:30:00,24.2,56,0.5,0.5,0
1,22,164,45,16.73111243,2018/7/16,15:00:00,24.6,54,2,0,0
1,22,164,45,16.73111243,2018/7/16,15:30:00,nan,nan,nan,nan,nan
1,22,164,45,16.73111243,2018/7/16,16:00:00,25.3,49,1,-0.4,1
1,22,164,45,16.73111243,2018/7/16,16:30:00,23,50,-2,-2,1
1,22,164,45,16.73111243,2018/7/16,17:00:00,22,52,-2.5,-2,1
1,22,164,45,16.73111243,2018/7/16,17:30:00,21.9,53,-2.5,-2.5,1
1,22,164,45,16.73111243,2018/7/16,18:00:00,21.5,52,-2,-3,1
1,22,164,45,16.73111243,2018/7/17,8:50:00,22.1,54,0.5,-1,0
1,22,164,45,16.73111243,2018/7/17,9:00:00,22.7,53,0.5,-0.5,0
1,22,164,45,16.73111243,2018/7/17,9:30:00,23.8,55,1,-0.5,0
1,22,164,45,16.73111243,2018/7/17,10:00:00,25.3,57,3,0,0
1,22,164,45,16.73111243,2018/7/17,10:30:00,25.9,58,2,0,0
1,22,164,45,16.73111243,2018/7/17,11:00:00,26.5,59,0.5,0.5,0
1,22,164,45,16.73111243,2018/7/17,11:30:00,26.2,59,-0.5,1,0
1,22,164,45,16.73111243,2018/7/17,12:00:00,27.1,59,-0.5,1,0
1,22,164,45,16.73111243,2018/7/17,14:20:00,27.3,59,-0.5,2,0
1,22,164,45,16.73111243,2018/7/17,14:30:00,27.7,63,-1.5,2,0
1,22,164,45,16.73111243,2018/7/17,15:00:00,24.2,54,0.5,0,1
1,22,164,45,16.73111243,2018/7/17,15:30:00,23,50,-0.5,-1,1
1,22,164,45,16.73111243,2018/7/17,16:00:00,23,51,0,-1.5,1
1,22,164,45,16.73111243,2018/7/17,16:30:00,23,53,-2,-2.5,1
1,22,164,45,16.73111243,2018/7/17,17:00:00,26.3,53,3,0,0
1,22,164,45,16.73111243,2018/7/17,17:30:00,27,53,2.5,0,0
1,22,164,45,16.73111243,2018/7/18,14:20:00,27.2¡æ,50,-1.5,2,0
